סעיף,יח',מחיר,תאור
57.011.0147,מ',960,"צינורות פלדה קוטר ""18  עובי דופן ""1/4  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0148,מ',1200,"צינורות פלדה קוטר ""20  עובי דופן ""1/4  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0149,מ',1300,"צינורות פלדה קוטר ""24  עובי דופן ""1/4  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0151,מ',210,"צינורות פלדה קוטר ""3  עובי דופן ""5/32  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0152,מ',260,"צינורות פלדה קוטר ""4  עובי דופן ""5/32  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0153,מ',320,"צינורות פלדה קוטר ""6  עובי דופן ""5/32  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0154,מ',430,"צינורות פלדה קוטר ""8  עובי דופן ""5/32  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0161,מ',290,"צינורות פלדה קוטר ""4  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0162,מ',370,"צינורות פלדה קוטר ""6  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0163,מ',450,"צינורות פלדה קוטר ""8  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
