סעיף,יח',מחיר,תאור
57.043.2632,קומפ,1650,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 100 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 2.75 מ' ועד 3.25 מ'
57.043.2646,קומפ,1600,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 125 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 1.75 מ' ועד 2.25 מ'
57.043.2648,קומפ,1750,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 125 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 2.25 מ' ועד 2.75 מ'
57.043.2649,קומפ,1900,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 125 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 2.75 מ' ועד 3.25 מ'
57.043.2650,קומפ,2080,"תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 125 0""מ עבור בנייתה על קו ביוב קיים בעומק מעל 3.25 מ' ועד 3.75 מ'"
57.043.2660,קומפ,2400,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 125 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 3.75 מ' ועד 4.25 מ'
57.043.2670,קומפ,2750,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 125 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 4.25 מ' ועד 4.75 מ'
57.043.2680,קומפ,3300,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 125 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 4.75 מ' ועד 5.25 מ'
57.043.2698,קומפ,2000,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 150 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 2.25 מ' ועד 2.75 מ'
57.043.2700,קומפ,2200,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 150 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 2.75 מ' ועד 3.75 מ'
57.043.2710,קומפ,2500,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 150 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 3.75 מ' ועד 4.25 מ'
57.043.2720,קומפ,2840,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 150 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 4.25 מ' ועד 4.75 מ'
57.043.2730,קומפ,3400,תוספת לשוחת בקרה מבטון טרום או יצוק קוטר פנימי 150 ס״מ עבור בנייתה על קו ביוב קיים בעומק מעל 4.75 מ' ועד 5.25 מ'
57.043.2800,קומפ,710,"פתח ביקורת קוטר ""6 על צינור פלדה קיים גלוי  לרבות ניתוק המים  חיתוך הצינור  חיבור מאסף  אוגן ואוגן עיוור בריתוך ושרשרת"
57.043.2810,קומפ,1300,"פתח ביקורת קוטר ""8 על צינור פלדה קיים גלוי  לרבות ניתוק המים  חיתוך הצינור  חיבור מאסף  אוגן ואוגן עיוור בריתוך ושרשרת"
57.043.2820,קומפ,2000,"פתח ביקורת קוטר ""10 על צינור פלדה קיים גלוי  לרבות ניתוק המים  חיתוך הצינור  חיבור מאסף  אוגן ואוגן עיוור בריתוך ושרשרת"
57.043.2830,קומפ,2400,"פתח ביקורת קוטר ""12 על צינור פלדה קיים גלוי  לרבות ניתוק המים  חיתוך הצינור  חיבור מאסף  אוגן ואוגן עיוור בריתוך ושרשרת"
57.043.2840,קומפ,2800,"פתח ביקורת קוטר ""14 על צינור פלדה גלוי קיים  לרבות ניתוק המים  חיתוך הצינור  מאסף עם פתח יציאה ""12  אוגן ואוגן עיוור בריתוך ושרשרת"
57.043.2850,קומפ,3200,"פתח ביקורת קוטר ""16 על צינור פלדה קיים גלוי  לרבות ניתוק המים  חיתוך הצינור  מאסף עם פתח יציאה ""12  אוגן ואוגן עיוור בריתוך ושרשרת"
,,,םה״כ לתוספות לשוחות בקרה
57.044,,,שוחות בקרה מפוליאתילן
57.044.0005,יח',2150,שוחות בקרה עגולות מפוליאתילן בקוטר פנימי 80 ס״מ מק״ט 08-080-030-125-06 לעומס 5 טון  מכסה מפוליאתילן קוטר 60 ס״מ מק״ט 17-060-303-002-10  עד 5 כניסות  יציאה 110 160 200 מ״מ עם אטם חדירה  ובעומק עד 1.50 מ'  לרבות עבודות חפירה ומילוי חוזר
57.044.0006,יח',2450,שוחות בקרה עגולות מפוליאתילן בקוטר פנימי 80 ס״מ מק״ט 08-080-030-125-08 או ש״ע לעומס 8 טון  מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 110 160 200 מ״מ עם אטם חדירה  ובעומק עד 1.50 מ'  לרבות עבודות חפירה ומילוי חוזר
57.044.0010,יח',2100,"שוחות בקרה עגולות מפוליאתילן בקוטר פנימי 80 ס״מ מק״ט 08-080-030-125-06 או ש״ע לעומס 5 טון  מכסה מפלסטיק קוטר 60 ס״מ מק״ט 0210-46CN דוגמת ""חופית"" או ש״ע  עד 5 כניסות  יציאה 200 מ״מ עם אטם חדירה  ובעומק עד 1.25 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0100,יח',2400,"שוחות בקרה עגולות מפוליאתילן בקוטר פנימי 80 ס״מ מק״ט 0206-B8098 או ש״ע לעומס 8 טון  מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) 125B טון) דוגמת ""חופית"" או ש״ע  עד 5 כניסות  יציאה 200 מ״מ עם אטם חדירה  ובעומק עד 1.25 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0200,יח',3300,"שוחות בקרה עגולות מפוליאתילן בקוטר פנימי 100 ס״מ  מק״ט 0207-C1158  לעומס 8 טון  דוגמת ""חופית"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 200 מ״מ עם אטם חדירה ובעומק עד 1.75 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0210,יח',4050,"שוחות בקרה עגולות מפוליאתילן בקוטר פנימי 100 ס״מ  מק״ט 0207-C1218  לעומס 8 טון  דוגמת ""חופית"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 200 מ״מ עם אטם חדירה ובעומק מעל 1.75 מ' ועד 2.25 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0220,יח',4500,"שוחות בקרה עגולות מפוליאתילן בקוטר פנימי 100 ס״מ  מק״ט 0207-C1258  לעומס 8 טון  דוגמת ""חופית"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 200 מ״מ עם אטם חדירה ובעומק מעל 2.25 מ' ועד 2.75 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0250,יח',3450,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 150 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 5C100/150  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 110 160 מ״מ עם אטם חדירה ובעומק 1.75 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0252,יח',3680,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 175 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 5C100/175  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 160 200 250 מ״מ עם אטם חדירה ובעומק 2.0 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0254,יח',3980,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 200 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 5C100/200  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 160 200 250 מ״מ עם אטם חדירה ובעומק 2.25 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0256,יח',4400,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 225 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 225/5C100  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 160 200 250 מ״מ עם אטם חדירה ובעומק 2.50 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0258,יח',5080,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 250 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 5C100/250  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 160 200 250 מ״מ עם אטם חדירה ובעומק 2.75 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0260,יח',7450,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 275 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 5C100/275  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 160 200 250 מ״מ עם אטם חדירה ובעומק 3.0 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0262,יח',7750,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 300 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 5C100/300  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 160 200 250 מ״מ עם אטם חדירה ובעומק 3.25 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.0264,יח',8050,"שוחות בקרה עגולות מפוליאתילן קוטר פנימי 100 ס״מ ובגובה פנים 325 ס״מ  לעומס 15 טון לפי ת""׳ 13598 חלק 2  דגם ""100 VULCAN"" מק״ט 5C100/325  תוצרת ""רוטוניב"" או ש״ע עם מכסה ב.ב. קוטר 60 ס״מ ממין 12.5) B125 טון)  עד 5 כניסות  יציאה 160 200 250 מ״מ עם אטם חדירה ובעומק 3.25 מ'  לרבות עבודות חפירה ומילוי חוזר"
57.044.1000,קומפ,300,תוספת לשוחות מפוליאתילן קוטר 80 ס״מ ובעומק עד 1.75 מ' עבור מצע חול בגובה 15 ס״מ ודיפון חול בציד׳ השוחה בעובי 30 ס״מ
57.044.1010,קומפ,600,תוספת לשוחות מפוליאתילן קוטר 100-125 ס״מ ובעומק עד 2.75 מ' עבור מצע חול בגובה 15 ס״מ ודיפון חול בציד׳ השוחה בעובי 30 ס״מ
,,,"סה""כ לשוחות בקרה מפוליאתילן"
57.045,,,שוחות בקרה עם תחתית משולבת בטון ופוליאתילן
57.045.0010,יח',3890,"שוחות בקרה עגולות עם תחתית משולבת בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 80 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע  בעומק עד 1.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0100,יח',4800,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 100 0""מ  עם מכסה ב.ב. קוטר 50 0""מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק עד 1.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0110,יח',5300,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 100 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 1.25 מ' ועד 1.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0120,יח',5900,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 100 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 1.75 מ' ועד 2.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0130,יח',6300,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 100 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 2.25 מ' ועד 2.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0200,יח',8650,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 125 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 2.75 מ' ועד 3.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0210,יח',9710,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 125 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 3.25 מ' ועד 3.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0220,יח',10710,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 125 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 3.75 מ' ועד 4.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0230,יח',11620,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 125 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 4.25 מ' ועד 4.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0240,יח',12810,"שוחות בקרה עגולות עם תחתית משולבות בטון ופוליאתילן דגם מגנופלסט תוצרת ""ולפמן"" או ש״ע קוטר 125 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע בעומק מעל 4.75 מ' ועד 5.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0300,יח',4400,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 100 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 250 -110 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק עד 1.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0310,יח',5100,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 100 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 250 -110 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 1.25 מ' ועד 1.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0320,יח',5700,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 100 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 250 -110 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 1.75 מ' ועד 2.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0330,יח',6100,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 100 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 250 -110 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 2.25 מ' ועד 2.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0350,יח',8230,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 125 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 110-250 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 2.75 מ' ועד 3.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0360,יח',9640,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״0"" או ""מגנופלקס"" או ש״ע קוטר 125 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 110-250 0""מ  עם מכסה ב.ב. קוטר 50 0""מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 3.25 מ' ועד 3.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0370,יח',10640,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 125 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 110-250 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 3.75 מ' ועד 4.25 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0380,יח',11550,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 125 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 110-250 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 4.25 מ' ועד 4.75 מ' כולל עבודות חפירה ומילוי חוזר"
57.045.0390,יח',12740,"שוחות בקרה עגולות עם תחתית בטון מעובדת ""אקרב״ס"" או ""מגנופלקס"" או ש״ע קוטר 125 ס״מ עם 5 כניסות ויציאות לחיבור צינורות P.V.C קוטר 110-250 ס״מ  עם מכסה ב.ב. קוטר 50 ס״מ ממין 12.5) 125B טון)  שלבי דריכה וכל האביזרים לרבות אטימה בין חוליות מסוג ""איטופלסט"" או ""F200 פרו-סטיק"" או ש״ע ובעומק מעל 4.75 מ' ועד 5.25 מ' כולל עבודות חפירה ומילוי חוזר"
,,,סה״כ לשוחות בקרה עם תחתית משולבת בטון ופוליאתילן
57.046,,,מפלים
57.046.0010,יח',890,"מפל חיצוני קוטר 160 מ״מ (""6) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) עד 1.5 מ'"
57.046.0020,יח',1000,"מפל חיצוני קוטר 200 מ״מ (""8). עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) עד 1.5 מ'"
57.046.0030,יח',1110,"מפל חיצוני קוטר 250 מ״מ (""10). עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) עד 1.5 מ'"
57.046.0040,יח',1280,"מפל חיצוני קוטר 315 מ״מ (""12). עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) עד 1.5 מ'"
57.046.0042,יח',1640,"מפל חיצוני קוטר 350 מ״מ (""14). עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) עד 1.5 מ'"
57.046.0050,יח',1260,"מפל חיצוני קוטר 160 מ״מ (""6) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 1.5 מ' ועד 3.0 מ'"
57.046.0055,יח',1390,"מפל חיצוני קוטר 200 מ״מ (""8) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 1.5 מ' ועד 3.0 מ'"
57.046.0060,יח',1520,"מפל חיצוני קוטר 250 מ״מ (""10) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 1.5 מ' ועד 3.0 מ'"
57.046.0065,יח',1670,"מפל חיצוני קוטר 315 מ״מ (""12) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 1.5 מ' ועד 3.0 מ'"
57.046.0067,יח',1890,"מפל חיצוני קוטר 350 מ״מ (""14) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 1.5 מ' ועד 3.0 מ'"
57.046.0070,יח',1410,"מפל חיצוני קוטר 160 מ״מ (""6) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 3.0 מ' ועד 4.5 מ'"
57.046.0075,יח',1750,"מפל חיצוני קוטר 200 מ״מ (""8) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 3.0 מ' ועד 4.5 מ'"
57.046.0080,יח',1890,"מפל חיצוני קוטר 250 מ״מ (""10) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 3.0 מ' ועד 4.5 מ'"
57.046.0085,יח',1980,"מפל חיצוני קוטר 315 מ״מ (""12) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 3.0 מ' ועד 4.5 מ'"
57.046.0087,יח',2230,"מפל חיצוני קוטר 350 מ״מ (""14) עם עטיפת בטון מזו״ן  צנרת ואביזרים מ - P.V.C  לרבות עיבוד מיתעל  גובה המפל (הפרש גובה) מעל 3.0 מ' ועד 4.5 מ'"
57.046.0100,יח',250,"תוספת למפל חיצוני קוטר ""6 עבור צנרת ואביזרים מפלדה"
57.046.0110,יח',350,"תוספת למפל חיצוני קוטר ""8 עבור צנרת ואביזרים מפלדה"
57.046.0120,יח',500,"תוספת למפל חיצוני קוטר ""10 עבור צנרת ואביזרים מפלדה"
57.046.0130,יח',760,"תוספת למפל חיצוני קוטר ""12 עבור צנרת ואביזרים מפלדה"
57.046.0132,יח',930,"תוספת למפל חיצוני קוטר ""14 עבור צנרת ואביזרים מפלדה"
57.046.0201,יח',525,"תוספת למפל חיצוני מסוג ""DROP"" תוצרת חב' ""ולפמן"" או ש״ע  במקום מפל רגיל (מסעיפים 57.046.0010 50 70) קוטר 160 מ״מ  להתקנה בתאי ביוב"
57.046.0205,יח',580,"תוספת למפל חיצוני מסוג ""DROP"" תוצרת חב' ""ולפמן"" או ש״ע  במקום מפל רגיל (מסעיפים 57.046.0020 55 75) קוטר 200 מ״מ  להתקנה בתאי ביוב"
57.046.0220,יח',650,"תוספת למפל חיצוני מסוג ""MULTI DROP"" תוצרת חב' ""ולפמן"" או ש״ע  במקום מפל רגיל (מסעיפים 57.046.0010 50 70) קוטר 160 מ״מ  להתקנה בתאי ביוב"
57.046.0500,יח',480,מפל פנימי קוטר 160 מ״מ מסוג P.V.C לרבות זווית עליונה 90 מעלות עם עין ביקורת  קטע צינור אנכי מחובר בחבקי פלב״מ (נירוסטה) לדופן השוחה וזווית תחתונה 90 מעלות  גובה המפל (הפרש גובה) עד 1.5 מ'
57.046.0510,יח',690,מפל פנימי קוטר 200 מ״מ מסוג P.V.C לרבות זווית עליונה 90 מעלות עם עין ביקורת  קטע צינור אנכי מחובר בחבקי פלב״מ (נירוסטה) לדופן השוחה וזווית תחתונה 90 מעלות  גובה המפל (הפרש גובה) עד 1.5 מ'
57.046.0520,יח',1070,מפל פנימי קוטר 250 מ״מ מסוג P.V.C לרבות זווית עליונה 90 מעלות עם עין ביקורת  קטע צינור אנכי מחובר בחבקי פלב״מ (נירוסטה) לדופן השוחה וזווית תחתונה 90 מעלות  גובה המפל (הפרש גובה) עד 1.5 מ'
57.046.0550,יח',700,מפל פנימי קוטר 160 מ״מ מסוג P.V.C לרבות זווית עליונה 90 מעלות עם עין ביקורת  קטע צינור אנכי מחובר בחבקי פלב״מ (נירוסטה) לדופן השוחה וזווית תחתונה 90 מעלות  גובה המפל (הפרש גובה) מעל 1.5 מ' ועד 3.0 מ'
57.046.0560,יח',1000,מפל פנימי קוטר 200 מ״מ מסוג P.V.C לרבות זווית עליונה 90 מעלות עם עין ביקורת  קטע צינור אנכי מחובר בחבקי פלב״מ (נירוסטה) לדופן השוחה וזווית תחתונה 90 מעלות  גובה המפל (הפרש גובה) מעל 1.5 מ' ועד 3.0 מ'
